"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"10","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java","3","30","Parameter 'b' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"11","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java","3","30","Avoid variables with short names like c","Code Style","ShortVariable"
"12","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\HeavilyCommentedDemo.java","3","30","Parameter 'c' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","3","Class comments are required","Documentation","CommentRequired"
"2","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"3","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","4","Public method and constructor comments are required","Documentation","CommentRequired"
"4","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","4","Parameter 'left' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","4","Parameter 'right' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","8","Public method and constructor comments are required","Documentation","CommentRequired"
"7","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","8","Parameter 'left' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","cases","D:\Research in Missing Metrics\Java\Comment-to-Code Ratio\workspace\comment_to_code_ratio_benchmark\src\cases\SparseCommentsDemo.java","3","8","Parameter 'right' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
