file,function,complexity,rank,line
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_locals.py,too_many_locals,1,A,4
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_nested_blocks.py,too_many_nested_blocks,7,B,4
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,TooManyPublicMethods,2,A,4
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method01,1,A,5
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method02,1,A,8
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method03,1,A,11
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method04,1,A,14
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method05,1,A,17
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method06,1,A,20
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method07,1,A,23
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method08,1,A,26
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method09,1,A,29
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method10,1,A,32
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method11,1,A,35
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method12,1,A,38
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method13,1,A,41
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method14,1,A,44
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method15,1,A,47
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method16,1,A,50
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method17,1,A,53
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method18,1,A,56
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method19,1,A,59
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method20,1,A,62
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_public_methods.py,method21,1,A,65
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_returns.py,too_many_returns,9,B,4
D:\Research in Missing Metrics\Python\Maintainability Rating (SQALE A–E)\workspace\sqale_rating_benchmark\cases\too_many_statements.py,too_many_statements,2,A,4
