"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"11","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","7","Deeply nested if..then statements are hard to read","Design","AvoidDeeplyNestedIfStmts"
"12","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","7","This if statement could be combined with its parent","Design","CollapsibleIfStatements"
"13","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","8","This if statement could be combined with its parent","Design","CollapsibleIfStatements"
"14","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","9","A method should have only one exit point, and that should be the last statement in the method","Code Style","OnlyOneReturn"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CleanDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CleanDemo.java","3","4","Parameter 'left' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"3","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CleanDemo.java","3","4","Parameter 'right' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","31","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","33","Local variable 'list' could be declared final","Code Style","LocalVariableCouldBeFinal"
"3","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","34","Local variable 'set' could be declared final","Code Style","LocalVariableCouldBeFinal"
"4","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","35","Local variable 'map' could be declared final","Code Style","LocalVariableCouldBeFinal"
"5","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","36","Avoid using implementation types like 'TreeMap'; use the interface instead","Best Practices","LooseCoupling"
"6","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","36","Local variable 'treeMap' could be declared final","Code Style","LocalVariableCouldBeFinal"
"7","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","37","Avoid using implementation types like 'LinkedList'; use the interface instead","Best Practices","LooseCoupling"
"8","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","37","Local variable 'linked' could be declared final","Code Style","LocalVariableCouldBeFinal"
"9","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","38","Avoid using implementation types like 'TreeSet'; use the interface instead","Best Practices","LooseCoupling"
"10","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","38","Local variable 'treeSet' could be declared final","Code Style","LocalVariableCouldBeFinal"
"11","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","39","Local variable 'file' could be declared final","Code Style","LocalVariableCouldBeFinal"
"12","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","40","Local variable 'path' could be declared final","Code Style","LocalVariableCouldBeFinal"
"13","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","41","Local variable 'url' could be declared final","Code Style","LocalVariableCouldBeFinal"
"14","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","42","Local variable 'connection' could be declared final","Code Style","LocalVariableCouldBeFinal"
"15","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","43","Ensure that resources like this StringReader object are closed after use","Error Prone","CloseResource"
"16","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","43","Local variable 'reader' could be declared final","Code Style","LocalVariableCouldBeFinal"
"17","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","44","Local variable 'writer' could be declared final","Code Style","LocalVariableCouldBeFinal"
"18","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","45","Ensure that resources like this BufferedReader object are closed after use","Error Prone","CloseResource"
"19","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","45","Local variable 'bufferedReader' could be declared final","Code Style","LocalVariableCouldBeFinal"
"20","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","46","Ensure that resources like this BufferedWriter object are closed after use","Error Prone","CloseResource"
"21","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","46","Local variable 'bufferedWriter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"22","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","47","Local variable 'inputStream' could be declared final","Code Style","LocalVariableCouldBeFinal"
"23","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","48","Local variable 'outputStream' could be declared final","Code Style","LocalVariableCouldBeFinal"
"24","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","49","Ensure that resources like this PrintWriter object are closed after use","Error Prone","CloseResource"
"25","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","49","Local variable 'printWriter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"26","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","50","Ensure that resources like this FileReader object are closed after use","Error Prone","CloseResource"
"27","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","50","Local variable 'fileReader' could be declared final","Code Style","LocalVariableCouldBeFinal"
"28","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","51","Ensure that resources like this FileWriter object are closed after use","Error Prone","CloseResource"
"29","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","3","51","Local variable 'fileWriter' could be declared final","Code Style","LocalVariableCouldBeFinal"
"30","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CouplingBetweenObjectsDemo.java","2","58","Usage of System.out/err","Best Practices","SystemPrintln"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","4","The method 'complexBranches(int)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"3","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","4","The method 'complexBranches(int)' has an NPath complexity of 4096, current threshold is 200","Design","NPathComplexity"
"4","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","4","Parameter 'value' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","7","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"6","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","8","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"7","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","9","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"8","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","10","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"9","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","11","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"10","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","12","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"11","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","13","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"12","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","14","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"13","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","15","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"14","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","16","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"15","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\CyclomaticComplexityDemo.java","3","17","Avoid using literals in if statements","Error Prone","AvoidLiteralsInIfCondition"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\DataClassDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\DataClassDemo.java","3","3","The class 'DataClassDemo' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=6)","Design","DataClass"
"3","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\DataClassDemo.java","3","12","Parameter 'name' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\DataClassDemo.java","3","20","Parameter 'age' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\DataClassDemo.java","3","28","Parameter 'email' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveMethodLengthDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveMethodLengthDemo.java","3","4","The method 'longMethod(int)' has a NCSS line count of 93.","Design","NcssCount"
"3","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveMethodLengthDemo.java","3","4","Parameter 'seed' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveMethodLengthDemo.java","3","99","Parameter 'value' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","4","Avoid long parameter lists.","Design","ExcessiveParameterList"
"3","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Avoid variables with short names like p1","Code Style","ShortVariable"
"4","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Parameter 'p1' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"5","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Avoid variables with short names like p2","Code Style","ShortVariable"
"6","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Parameter 'p2' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"7","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Avoid variables with short names like p3","Code Style","ShortVariable"
"8","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Parameter 'p3' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"9","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Avoid variables with short names like p4","Code Style","ShortVariable"
"10","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Parameter 'p4' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"11","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Avoid variables with short names like p5","Code Style","ShortVariable"
"12","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","5","Parameter 'p5' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"13","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Avoid variables with short names like p6","Code Style","ShortVariable"
"14","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Parameter 'p6' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"15","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Avoid variables with short names like p7","Code Style","ShortVariable"
"16","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Parameter 'p7' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"17","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Avoid variables with short names like p8","Code Style","ShortVariable"
"18","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Parameter 'p8' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"19","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Avoid variables with short names like p9","Code Style","ShortVariable"
"20","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Parameter 'p9' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"21","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","6","Parameter 'p10' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"22","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\ExcessiveParameterListDemo.java","3","7","Parameter 'p11' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\TooManyFieldsDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\TooManyFieldsDemo.java","3","3","Too many fields","Design","TooManyFields"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\TooManyMethodsDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\TooManyMethodsDemo.java","3","3","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
